Исключение	                    Описание
ArithmeticException	            Выбрасывается, когда возникает исключительная арифметическая ситуация.
ArrayIndexOutOfBoundsException	Выбрасывается при попытке обратиться к массиву по недействительному индексу.
ArrayStoreException	            Выбрасывается при попытке сохранить объект несоответствующего типа в массиве объектов.
ClassCastException	            Выбрасывается, когда код совершает попытку привести тип объекта к подклассу, экземпляром которого он не является.
ClassNotFoundException	        Выбрасывается, когда приложение совершает попытку загрузить класс по его имени в строковом представлении с использованием метода forName в классе Class.
CloneNotSupportedException	    Выбрасывается, когда для клонирования объекта определенного класса вызван метод clone, но класс этого объекта не реализует интерфейс Cloneable.
EnumConstantNotPresentException	Выбрасывается, когда приложение производит попытку обратиться к константе из перечисления по имени, но тип этого перечисления не содержит константу с указанным именем.


Exception	                    Класс Exception и его подклассы являются подклассами Throwable и указывают на ситуации, которые могут быть перехвачены приложением.
IllegalAccessException	        Выбрасывается, когда приложение совершает попытку применить рефлексию, чтобы создать экземпляр (отличный от массива), присвоить полю значение или получить значение поля, вызвать метод, но текущий выполняемый метод не имеет доступа к определению указанного класса, поля, метода или конструктора.
IllegalArgumentException	    Выбрасывается, когда методу передан недопустимый или неприемлемый аргумент.
IllegalMonitorStateException	Выбрасывается, когда нить пытается ожидать монитор объекта или отправить оповещение другим нитям, ожидающим монитор объекта, но указанный монитор не принадлежит ей.
IllegalStateException	        Выбрасывается, когда метод вызван в недопустимое или неприемлемое время.
IllegalThreadStateException	    Выбрасывается, когда нить находится в неприемлемом состоянии для выполнения запрошенной операции.
IndexOutOfBoundsException	    Выбрасывается, когда индекс определенного типа (например, для массива, строки или вектора) находится вне допустимого диапазона.
InstantiationException	        Выбрасывается, когда приложение совершает попытку создать экземпляр класса с использованием метода newInstance класса Class, но создать экземпляр указанного класса невозможно.
InterruptedException	        Выбрасывается, когда нить находится в состоянии ожидания, сна или занята каким-либо другим образом, но ее работа прервана либо перед выполнением действия, либо после его выполнения.
NegativeArraySizeException	    Выбрасывается, когда приложение совершает попытку создать массив отрицательного размера.
NoSuchFieldException	        Выбрасывается, когда в классе отсутствует поле с указанным именем.
NoSuchMethodException	        Выбрасывается, когда невозможно найти указанный метод.
NullPointerException	        Выбрасывается, когда приложение совершает попытку использовать значение null, но требуется указать объект.
NumberFormatException	        Выбрасывается, когда приложение совершает попытку преобразовать строку в один из числовых типов, но строка имеет недопустимый формат.


RuntimeException	            Это родительский класс для тех исключений, которые могут быть выброшены при нормальной работе виртуальной машины Java.
SecurityException	            Выбрасывается менеджером безопасности при нарушении безопасности.
StringIndexOutOfBoundsException	Выбрасывается методами класса String при попытке использовать отрицательный индекс или индекс, превышающий размер строки.
TypeNotPresentException	        Выбрасывается, когда приложение совершает попытку доступа к типу с указанием его имени в виде строки, но не удается найти определение типа с указанным именем.
UnsupportedOperationException	Выбрасывается, когда запрошенная операция не поддерживается.
