2022, 1, 7, FC Bayern Munich, 1:02, Borussia Monchengladbach, NULL, NULL
2022, 1, 8, TSG 1899 Hoffenheim, 3:01, FC Augsburg, 500, NULL
2022, 1, 8, Freiburg, 2:02, Arminia Bielefeld, 500, NULL
2022, 1, 8, Bayer 04 Leverkusen, 2:02, 1. FC Union Berlin, NULL, NULL
2022, 1, 8, SpVgg Greuther Fürth, 0:00, Stuttgart, NULL, NULL
2022, 1, 8, RB Leipzig, 4:01, 1. FSV Mainz 05, NULL, NULL
2022, 1, 8, Eintracht Frankfurt, 2:03, Borussia Dortmund, 250, NULL
2022, 1, 9, Hertha BSC, 1:03, 1. FC Cologne, 3000, NULL
2022, 1, 9, VfL Bochum, 1:00, VfL Wolfsburg, NULL, NULL
2022, 1, 14, Borussia Dortmund, 5:01, Freiburg, 750, NULL
2022, 1, 15, 1. FC Cologne, 0:04, FC Bayern Munich, 1000, NULL
2022, 1, 15, 1. FSV Mainz 05, 1:00, VfL Bochum, 1000, NULL
2022, 1, 15, 1. FC Union Berlin, 2:01, TSG 1899 Hoffenheim, 3000, NULL
2022, 1, 15, Stuttgart, 0:02, RB Leipzig, 500, NULL
2022, 1, 15, VfL Wolfsburg, 0:00, Hertha BSC, 500, NULL
2022, 1, 15, Borussia Monchengladbach, 1:02, Bayer 04 Leverkusen, 750, NULL
2022, 1, 16, FC Augsburg, 1:01, Eintracht Frankfurt, NULL, NULL
2022, 1, 16, Arminia Bielefeld, 2:02, SpVgg Greuther Fürth, 750, NULL
2022, 1, 21, Eintracht Frankfurt, 0:02, Arminia Bielefeld, 1000, NULL
2022, 1, 22, TSG 1899 Hoffenheim, 2:03, Borussia Dortmund, 500, NULL
2022, 1, 22, SpVgg Greuther Fürth, 2:01, 1. FSV Mainz 05, NULL, NULL
2022, 1, 22, Freiburg, 2:00, Stuttgart, 500, NULL
2022, 1, 22, Borussia Monchengladbach, 1:02, 1. FC Union Berlin, 750, NULL
2022, 1, 22, Bayer 04 Leverkusen, 5:01, FC Augsburg, 750, NULL
2022, 1, 22, VfL Bochum, 2:02, 1. FC Cologne, 750, NULL
2022, 1, 23, RB Leipzig, 2:00, VfL Wolfsburg, 1000, NULL
2022, 1, 23, Hertha BSC, 1:04, FC Bayern Munich, 3000, NULL
2022, 2, 4, Hertha BSC, 1:01, VfL Bochum, 3000, NULL
2022, 2, 5, 1. FSV Mainz 05, 2:00, TSG 1899 Hoffenheim, 6800, NULL
2022, 2, 5, Stuttgart, 2:03, Eintracht Frankfurt, 10000, NULL
2022, 2, 5, 1. FC Cologne, 1:00, Freiburg, 10000, NULL
2022, 2, 5, Arminia Bielefeld, 1:01, Borussia Monchengladbach, 10000, NULL
2022, 2, 5, FC Augsburg, 2:00, 1. FC Union Berlin, 7600, NULL
2022, 2, 5, FC Bayern Munich, 3:02, RB Leipzig, 10000, NULL
2022, 2, 6, Borussia Dortmund, 2:05, Bayer 04 Leverkusen, 10000, NULL
2022, 2, 6, VfL Wolfsburg, 4:01, SpVgg Greuther Fürth, 500, NULL
2022, 2, 11, RB Leipzig, 3:01, 1. FC Cologne, 15000, NULL
2022, 2, 12, Eintracht Frankfurt, 0:02, VfL Wolfsburg, 10000, NULL
2022, 2, 12, VfL Bochum, 4:02, FC Bayern Munich, 8500, NULL
2022, 2, 12, Borussia Monchengladbach, 3:02, FC Augsburg, 10000, NULL
2022, 2, 12, SpVgg Greuther Fürth, 2:01, Hertha BSC, 7919, NULL
2022, 2, 12, Freiburg, 1:01, 1. FSV Mainz 05, 10000, NULL
2022, 2, 12, Bayer 04 Leverkusen, 4:02, Stuttgart, 10000, NULL
2022, 2, 13, 1. FC Union Berlin, 0:03, Borussia Dortmund, 10000, NULL
2022, 2, 13, TSG 1899 Hoffenheim, 2:00, Arminia Bielefeld, 10000, NULL
2022, 2, 18, 1. FSV Mainz 05, 3:02, Bayer 04 Leverkusen, 10000, NULL
2022, 2, 19, Stuttgart, 1:01, VfL Bochum, 20059, NULL
2022, 2, 19, VfL Wolfsburg, 1:02, TSG 1899 Hoffenheim, 7145, NULL
2022, 2, 19, Arminia Bielefeld, 1:00, 1. FC Union Berlin, 10000, NULL
2022, 2, 19, FC Augsburg, 1:02, Freiburg, 15000, NULL
2022, 2, 19, 1. FC Cologne, 1:00, Eintracht Frankfurt, 10000, NULL
2022, 2, 20, FC Bayern Munich, 4:01, SpVgg Greuther Fürth, 25000, NULL
2022, 2, 20, Borussia Dortmund, 6:00, Borussia Monchengladbach, 10000, NULL
2022, 2, 20, Hertha BSC, 1:06, RB Leipzig, 10000, NULL
2022, 2, 25, TSG 1899 Hoffenheim, 2:01, Stuttgart, 18099, NULL
2022, 2, 26, 1. FC Union Berlin, 3:01, 1. FSV Mainz 05, 10000, NULL
2022, 2, 26, Borussia Monchengladbach, 2:02, VfL Wolfsburg, 10000, NULL
2022, 2, 26, SpVgg Greuther Fürth, 1:01, 1. FC Cologne, 9200, NULL
2022, 2, 26, Freiburg, 3:00, Hertha BSC, 25000, NULL
2022, 2, 26, Bayer 04 Leverkusen, 3:00, Arminia Bielefeld, 10000, NULL
2022, 2, 26, Eintracht Frankfurt, 0:01, FC Bayern Munich, 25000, NULL
2022, 2, 27, VfL Bochum, 0:01, RB Leipzig, 10000, NULL
2022, 2, 27, FC Augsburg, 1:01, Borussia Dortmund, 15330, NULL
2022, 3, 4, Arminia Bielefeld, 0:01, FC Augsburg, 19460, NULL
2022, 3, 5, VfL Bochum, 2:01, SpVgg Greuther Fürth, 19800, NULL
2022, 3, 5, RB Leipzig, 1:01, Freiburg, 24758, NULL
2022, 3, 5, FC Bayern Munich, 1:01, Bayer 04 Leverkusen, 25000, NULL
2022, 3, 5, Hertha BSC, 1:04, Eintracht Frankfurt, 25000, NULL
2022, 3, 5, VfL Wolfsburg, 1:00, 1. FC Union Berlin, 15703, NULL
2022, 3, 5, Stuttgart, 3:02, Borussia Monchengladbach, 25000, NULL
2022, 3, 6, 1. FC Cologne, 0:01, TSG 1899 Hoffenheim, 37500, NULL
2022, 3, 16, 1. FSV Mainz 05, 0:01, Borussia Dortmund, 25000, NULL
2022, 3, 12, Freiburg, 3:02, VfL Wolfsburg, 25000, NULL
2022, 3, 12, 1. FC Union Berlin, 1:01, Stuttgart, 16509, NULL
2022, 3, 12, TSG 1899 Hoffenheim, 1:01, FC Bayern Munich, 25600, NULL
2022, 3, 12, Borussia Monchengladbach, 2:00, Hertha BSC, 30675, NULL
2022, 3, 13, Bayer 04 Leverkusen, 0:01, 1. FC Cologne, 22658, NULL
2022, 3, 13, Borussia Dortmund, 1:00, Arminia Bielefeld, 33000, NULL
2022, 3, 13, Eintracht Frankfurt, 2:01, VfL Bochum, 24000, NULL
2022, 3, 13, SpVgg Greuther Fürth, 1:06, RB Leipzig, 9418, NULL
2022, 3, 18, VfL Bochum, 0:02, Borussia Monchengladbach, NULL, NULL
2022, 3, 19, Hertha BSC, 3:00, TSG 1899 Hoffenheim, 25000, NULL
2022, 3, 19, Stuttgart, 3:02, FC Augsburg, 55785, NULL
2022, 3, 19, SpVgg Greuther Fürth, 0:00, Freiburg, 9884, NULL
2022, 3, 19, 1. FSV Mainz 05, 4:00, Arminia Bielefeld, 25000, NULL
2022, 3, 19, FC Bayern Munich, 4:00, 1. FC Union Berlin, 37000, NULL
2022, 3, 20, RB Leipzig, 0:00, Eintracht Frankfurt, 43058, NULL
2022, 3, 20, VfL Wolfsburg, 0:02, Bayer 04 Leverkusen, 16554, NULL
2022, 3, 20, 1. FC Cologne, 1:01, Borussia Dortmund, 50000, NULL
2022, 4, 6, FC Augsburg, 2:01, 1. FSV Mainz 05, 18122, NULL
2022, 4, 1, 1. FC Union Berlin, 1:00, 1. FC Cologne, 22012, NULL
2022, 4, 2, Freiburg, 1:04, FC Bayern Munich, 34700, NULL
